"library","batch","total_reads","gc_content","q30_rate","human_rate","rRNA_rate","contamination_rate","error_rate","bias","insertsize","exonic","intronic","intergenic","type"
"X5_14_b_3","X",39194577,47,0.943597,98.29271607,0.005,0.35,0.01,1.01,300,0.437143773144437,0.506146821164498,0.0567094056910649,"b"
"X5_15_c_3","X",33842138,47,0.940497,98.23428945,0.015,0.425,0.01,1.04,286,0.424519923143463,0.516740896746735,0.0587391801098018,"c"
"X5_16_d_3","X",34659099,46,0.941149,98.35577981,0.005,0.395,0.01,1.04,297,0.407670872986286,0.53691815579271,0.0554109712210038,"d"
"X5_17_e_3","X",34393685,47,0.945106,98.45900532,0.01,0.645,0.01,1.07,304,0.445672183434525,0.491177582756808,0.0631502338086664,"e"
"X5_18_f_3","X",34467020,46,0.945836,97.85520211,0,1.1,0.01,1.03,305,0.457553356052096,0.486024802866858,0.0564218410810461,"f"
"X5_2_b_1","X",39174251,46,0.945323,98.23209511,0.005,0.3,0.01,1.04,301,0.434581891984123,0.509436787183217,0.0559813208326598,"b"
"X5_3_c_1","X",34762589,47,0.94327,98.41925005,0.005,0.37,0.01,1,309,0.417490240789844,0.525710534880393,0.0567992243297638,"c"
"X5_4_d_1","X",35721669,46,0.941736,98.40596044,0.005,0.36,0.01,0.99,307,0.406556585616043,0.537562533225835,0.0558808811581213,"d"
"X5_5_e_1","X",39308056,47,0.946009,98.45606484,0.005,0.695,0.01,1.13,300,0.450022567635605,0.484002467547568,0.065974964816827,"e"
"X5_6_f_1","X",38468317,46,0.944184,97.88909956,0,1.055,0.01,1.05,307,0.452279751439148,0.491171714852841,0.0565485337080108,"f"
"X5_7_a_2","X",41312252,47,0.943327,98.44585765,0.015,0.42,0.01,1.04,304,0.450033981000723,0.493660389639692,0.0563056293595846,"a"
"X5_8_b_2","X",37054106,48,0.941565,98.61657875,0.04,0.355,0.01,0.96,301,0.45789873993711,0.483759962651148,0.0583412974117424,"b"
"X5_9_c_2","X",41855246,46,0.943242,98.225516,0.01,0.37,0.01,1.04,304,0.41482908499736,0.5305277891195,0.0546431258831401,"c"
